year,total_revenue_year,VsLY,releases,average,top_1_release
2024,24789414617,-11.9%,3423,7242014,Inside Out 2
2023,28146830082,23.7%,3203,8787645,Barbie
2022,22747645069,16.5%,3079,7387997,Avatar: The Way of Water
2021,19528280526,126.7%,2206,8852348,Spider-Man: No Way Home
2020,8613669292,-78.0%,2007,4291813,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train
2019,39132391874,1.9%,3489,11215933,Avengers: Endgame
2018,38393421029,0.4%,3396,11305483,Avengers: Infinity War
2017,38244724331,5.3%,3230,11840471,Star Wars: Episode VIII - The Last Jedi
2016,36311916872,-1.0%,3149,11531253,Captain America: Civil War
2015,36670167350,7.7%,2427,15109257,Star Wars: Episode VII - The Force Awakens
2014,34060672873,3.5%,2319,14687655,Transformers: Age of Extinction
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,

