,id,title,revenue,budget,revenue_per_budget,genres,production_companies,yearmonthday,yearmonth,year
0,91314,Transformers: Age of Extinction,1104054072,210000000,5.257400342857143,"Science Fiction, Action, Adventure",di Bonaventura Pictures,20140625,201406,2014
0,91314,Transformers: Age of Extinction,1104054072,210000000,5.257400342857143,"Science Fiction, Action, Adventure",DeSanto/Murphy Productions,20140625,201406,2014
0,91314,Transformers: Age of Extinction,1104054072,210000000,5.257400342857143,"Science Fiction, Action, Adventure",Ian Bryce Productions,20140625,201406,2014
0,91314,Transformers: Age of Extinction,1104054072,210000000,5.257400342857143,"Science Fiction, Action, Adventure",Paramount Pictures,20140625,201406,2014
0,91314,Transformers: Age of Extinction,1104054072,210000000,5.257400342857143,"Science Fiction, Action, Adventure",Hasbro,20140625,201406,2014
1,122917,The Hobbit: The Battle of the Five Armies,956019788,250000000,3.824079152,"Action, Adventure, Fantasy",New Line Cinema,20141210,201412,2014
1,122917,The Hobbit: The Battle of the Five Armies,956019788,250000000,3.824079152,"Action, Adventure, Fantasy",Metro-Goldwyn-Mayer,20141210,201412,2014
1,122917,The Hobbit: The Battle of the Five Armies,956019788,250000000,3.824079152,"Action, Adventure, Fantasy",WingNut Films,20141210,201412,2014
2,118340,Guardians of the Galaxy,772776600,170000000,4.545744705882353,"Action, Science Fiction, Adventure",Marvel Studios,20140730,201407,2014
3,102651,Maleficent,758539785,180000000,4.214109916666667,"Fantasy, Adventure, Action, Family, Romance",Walt Disney Pictures,20140528,201405,2014
3,102651,Maleficent,758539785,180000000,4.214109916666667,"Fantasy, Adventure, Action, Family, Romance",Roth Films,20140528,201405,2014
4,131631,The Hunger Games: Mockingjay - Part 1,755356711,125000000,6.042853688,"Science Fiction, Adventure, Thriller",Lionsgate,20141119,201411,2014
4,131631,The Hunger Games: Mockingjay - Part 1,755356711,125000000,6.042853688,"Science Fiction, Adventure, Thriller",Color Force,20141119,201411,2014
5,127585,X-Men: Days of Future Past,747862775,250000000,2.9914511,"Action, Adventure, Science Fiction",Bad Hat Harry Productions,20140515,201405,2014
5,127585,X-Men: Days of Future Past,747862775,250000000,2.9914511,"Action, Adventure, Science Fiction",The Donners' Company,20140515,201405,2014
5,127585,X-Men: Days of Future Past,747862775,250000000,2.9914511,"Action, Adventure, Science Fiction",20th Century Fox,20140515,201405,2014
5,127585,X-Men: Days of Future Past,747862775,250000000,2.9914511,"Action, Adventure, Science Fiction",Marvel Entertainment,20140515,201405,2014
5,127585,X-Men: Days of Future Past,747862775,250000000,2.9914511,"Action, Adventure, Science Fiction",TSG Entertainment,20140515,201405,2014
5,127585,X-Men: Days of Future Past,747862775,250000000,2.9914511,"Action, Adventure, Science Fiction",Genre Films,20140515,201405,2014
6,157336,Interstellar,746606706,165000000,4.524889127272727,"Adventure, Drama, Science Fiction",Legendary Pictures,20141105,201411,2014
6,157336,Interstellar,746606706,165000000,4.524889127272727,"Adventure, Drama, Science Fiction",Syncopy,20141105,201411,2014
6,157336,Interstellar,746606706,165000000,4.524889127272727,"Adventure, Drama, Science Fiction",Lynda Obst Productions,20141105,201411,2014
7,100402,Captain America: The Winter Soldier,714766572,170000000,4.204509247058824,"Action, Adventure, Science Fiction",Marvel Studios,20140320,201403,2014
8,119450,Dawn of the Planet of the Apes,710644566,170000000,4.180262152941176,"Science Fiction, Action, Drama, Thriller",TSG Entertainment,20140708,201407,2014
8,119450,Dawn of the Planet of the Apes,710644566,170000000,4.180262152941176,"Science Fiction, Action, Drama, Thriller",Chernin Entertainment,20140708,201407,2014
8,119450,Dawn of the Planet of the Apes,710644566,170000000,4.180262152941176,"Science Fiction, Action, Drama, Thriller",Ingenious Media,20140708,201407,2014
8,119450,Dawn of the Planet of the Apes,710644566,170000000,4.180262152941176,"Science Fiction, Action, Drama, Thriller",20th Century Fox,20140708,201407,2014
9,102382,The Amazing Spider-Man 2,708962323,200000000,3.544811615,"Action, Adventure, Science Fiction",Columbia Pictures,20140416,201404,2014
