,id,title,overview,original_language,runtime,origin_country,budget,revenue,release_date,genres,production_companies,revenue_per_budget,yearmonthday,yearmonth,year
0,91314,Transformers: Age of Extinction,"As humanity picks up the pieces after the battle of Chicago, a shadowy group reveals itself in an attempt to control the direction of history…while an ancient, powerful new menace sets Earth in its crosshairs. With help from Cade Yeager, Optimus Prime and the Autobots rise to meet their most fearsome challenge yet.",en,165,US,210000000,1104054072,2014-06-25,"Science Fiction, Action, Adventure","di Bonaventura Pictures, DeSanto/Murphy Productions, Ian Bryce Productions, Paramount Pictures, Hasbro",5.257400342857143,20140625,201406,2014
1,122917,The Hobbit: The Battle of the Five Armies,"Following Smaug's attack on Laketown, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",en,144,US,250000000,956019788,2014-12-10,"Action, Adventure, Fantasy","New Line Cinema, Metro-Goldwyn-Mayer, WingNut Films",3.824079152,20141210,201412,2014
2,118340,Guardians of the Galaxy,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",en,121,US,170000000,772776600,2014-07-30,"Action, Science Fiction, Adventure",Marvel Studios,4.545744705882353,20140730,201407,2014
3,102651,Maleficent,"A beautiful, pure-hearted young woman, Maleficent has an idyllic life growing up in a peaceable forest kingdom, until one day when an invading army threatens the harmony of the land. She rises to be the land's fiercest protector, but she ultimately suffers a ruthless betrayal – an act that begins to turn her heart into stone. Bent on revenge, Maleficent faces an epic battle with the invading King's successor and, as a result, places a curse upon his newborn infant Aurora. As the child grows, Maleficent realizes that Aurora holds the key to peace in the kingdom – and to Maleficent's true happiness as well.",en,97,US,180000000,758539785,2014-05-28,"Fantasy, Adventure, Action, Family, Romance","Walt Disney Pictures, Roth Films",4.214109916666667,20140528,201405,2014
4,131631,The Hunger Games: Mockingjay - Part 1,"After surviving the Quarter Quell, Katniss finds herself in the hidden stronghold of District 13, where the rebellion against the Capitol is gaining momentum. Struggling with the weight of becoming the symbol of resistance, she must navigate fragile alliances while trying to protect those she loves. As propaganda battles rage and Panem moves closer to full-scale war, Katniss is forced to confront the true cost of revolution.",en,123,US,125000000,755356711,2014-11-19,"Science Fiction, Adventure, Thriller","Lionsgate, Color Force",6.042853688,20141119,201411,2014
5,127585,X-Men: Days of Future Past,The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.,en,132,US,250000000,747862775,2014-05-15,"Action, Adventure, Science Fiction","Bad Hat Harry Productions, The Donners' Company, 20th Century Fox, Marvel Entertainment, TSG Entertainment, Genre Films",2.9914511,20140515,201405,2014
6,157336,Interstellar,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,en,169,US,165000000,746606706,2014-11-05,"Adventure, Drama, Science Fiction","Legendary Pictures, Syncopy, Lynda Obst Productions",4.524889127272727,20141105,201411,2014
7,100402,Captain America: The Winter Soldier,"After the cataclysmic events in New York with The Avengers, Steve Rogers, aka Captain America is living quietly in Washington, D.C. and trying to adjust to the modern world. But when a S.H.I.E.L.D. colleague comes under attack, Steve becomes embroiled in a web of intrigue that threatens to put the world at risk. Joining forces with the Black Widow, Captain America struggles to expose the ever-widening conspiracy while fighting off professional assassins sent to silence him at every turn. When the full scope of the villainous plot is revealed, Captain America and the Black Widow enlist the help of a new ally, the Falcon. However, they soon find themselves up against an unexpected and formidable enemy—the Winter Soldier.",en,136,US,170000000,714766572,2014-03-20,"Action, Adventure, Science Fiction",Marvel Studios,4.204509247058824,20140320,201403,2014
8,119450,Dawn of the Planet of the Apes,"A group of scientists in San Francisco struggle to stay alive in the aftermath of a plague that is wiping out humanity, while Caesar tries to maintain dominance over his community of intelligent apes.",en,130,US,170000000,710644566,2014-07-08,"Science Fiction, Action, Drama, Thriller","TSG Entertainment, Chernin Entertainment, Ingenious Media, 20th Century Fox",4.180262152941176,20140708,201407,2014
9,102382,The Amazing Spider-Man 2,"For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.",en,141,US,200000000,708962323,2014-04-16,"Action, Adventure, Science Fiction","Columbia Pictures, Matt Tolmach Productions, Arad Productions, Marvel Entertainment",3.544811615,20140416,201404,2014
