,id,title,revenue,budget,revenue_per_budget,genres,production_companies,yearmonthday,yearmonth,year
0,91314,Transformers: Age of Extinction,1104054072,210000000,5.257400342857143,Science Fiction,"di Bonaventura Pictures, DeSanto/Murphy Productions, Ian Bryce Productions, Paramount Pictures, Hasbro",20140625,201406,2014
0,91314,Transformers: Age of Extinction,1104054072,210000000,5.257400342857143,Action,"di Bonaventura Pictures, DeSanto/Murphy Productions, Ian Bryce Productions, Paramount Pictures, Hasbro",20140625,201406,2014
0,91314,Transformers: Age of Extinction,1104054072,210000000,5.257400342857143,Adventure,"di Bonaventura Pictures, DeSanto/Murphy Productions, Ian Bryce Productions, Paramount Pictures, Hasbro",20140625,201406,2014
1,122917,The Hobbit: The Battle of the Five Armies,956019788,250000000,3.824079152,Action,"New Line Cinema, Metro-Goldwyn-Mayer, WingNut Films",20141210,201412,2014
1,122917,The Hobbit: The Battle of the Five Armies,956019788,250000000,3.824079152,Adventure,"New Line Cinema, Metro-Goldwyn-Mayer, WingNut Films",20141210,201412,2014
1,122917,The Hobbit: The Battle of the Five Armies,956019788,250000000,3.824079152,Fantasy,"New Line Cinema, Metro-Goldwyn-Mayer, WingNut Films",20141210,201412,2014
2,118340,Guardians of the Galaxy,772776600,170000000,4.545744705882353,Action,Marvel Studios,20140730,201407,2014
2,118340,Guardians of the Galaxy,772776600,170000000,4.545744705882353,Science Fiction,Marvel Studios,20140730,201407,2014
2,118340,Guardians of the Galaxy,772776600,170000000,4.545744705882353,Adventure,Marvel Studios,20140730,201407,2014
3,102651,Maleficent,758539785,180000000,4.214109916666667,Fantasy,"Walt Disney Pictures, Roth Films",20140528,201405,2014
3,102651,Maleficent,758539785,180000000,4.214109916666667,Adventure,"Walt Disney Pictures, Roth Films",20140528,201405,2014
3,102651,Maleficent,758539785,180000000,4.214109916666667,Action,"Walt Disney Pictures, Roth Films",20140528,201405,2014
3,102651,Maleficent,758539785,180000000,4.214109916666667,Family,"Walt Disney Pictures, Roth Films",20140528,201405,2014
3,102651,Maleficent,758539785,180000000,4.214109916666667,Romance,"Walt Disney Pictures, Roth Films",20140528,201405,2014
4,131631,The Hunger Games: Mockingjay - Part 1,755356711,125000000,6.042853688,Science Fiction,"Lionsgate, Color Force",20141119,201411,2014
4,131631,The Hunger Games: Mockingjay - Part 1,755356711,125000000,6.042853688,Adventure,"Lionsgate, Color Force",20141119,201411,2014
4,131631,The Hunger Games: Mockingjay - Part 1,755356711,125000000,6.042853688,Thriller,"Lionsgate, Color Force",20141119,201411,2014
5,127585,X-Men: Days of Future Past,747862775,250000000,2.9914511,Action,"Bad Hat Harry Productions, The Donners' Company, 20th Century Fox, Marvel Entertainment, TSG Entertainment, Genre Films",20140515,201405,2014
5,127585,X-Men: Days of Future Past,747862775,250000000,2.9914511,Adventure,"Bad Hat Harry Productions, The Donners' Company, 20th Century Fox, Marvel Entertainment, TSG Entertainment, Genre Films",20140515,201405,2014
5,127585,X-Men: Days of Future Past,747862775,250000000,2.9914511,Science Fiction,"Bad Hat Harry Productions, The Donners' Company, 20th Century Fox, Marvel Entertainment, TSG Entertainment, Genre Films",20140515,201405,2014
6,157336,Interstellar,746606706,165000000,4.524889127272727,Adventure,"Legendary Pictures, Syncopy, Lynda Obst Productions",20141105,201411,2014
6,157336,Interstellar,746606706,165000000,4.524889127272727,Drama,"Legendary Pictures, Syncopy, Lynda Obst Productions",20141105,201411,2014
6,157336,Interstellar,746606706,165000000,4.524889127272727,Science Fiction,"Legendary Pictures, Syncopy, Lynda Obst Productions",20141105,201411,2014
7,100402,Captain America: The Winter Soldier,714766572,170000000,4.204509247058824,Action,Marvel Studios,20140320,201403,2014
7,100402,Captain America: The Winter Soldier,714766572,170000000,4.204509247058824,Adventure,Marvel Studios,20140320,201403,2014
7,100402,Captain America: The Winter Soldier,714766572,170000000,4.204509247058824,Science Fiction,Marvel Studios,20140320,201403,2014
8,119450,Dawn of the Planet of the Apes,710644566,170000000,4.180262152941176,Science Fiction,"TSG Entertainment, Chernin Entertainment, Ingenious Media, 20th Century Fox",20140708,201407,2014
8,119450,Dawn of the Planet of the Apes,710644566,170000000,4.180262152941176,Action,"TSG Entertainment, Chernin Entertainment, Ingenious Media, 20th Century Fox",20140708,201407,2014
8,119450,Dawn of the Planet of the Apes,710644566,170000000,4.180262152941176,Drama,"TSG Entertainment, Chernin Entertainment, Ingenious Media, 20th Century Fox",20140708,201407,2014
8,119450,Dawn of the Planet of the Apes,710644566,170000000,4.180262152941176,Thriller,"TSG Entertainment, Chernin Entertainment, Ingenious Media, 20th Century Fox",20140708,201407,2014
9,102382,The Amazing Spider-Man 2,708962323,200000000,3.544811615,Action,"Columbia Pictures, Matt Tolmach Productions, Arad Productions, Marvel Entertainment",20140416,201404,2014
9,102382,The Amazing Spider-Man 2,708962323,200000000,3.544811615,Adventure,"Columbia Pictures, Matt Tolmach Productions, Arad Productions, Marvel Entertainment",20140416,201404,2014
9,102382,The Amazing Spider-Man 2,708962323,200000000,3.544811615,Science Fiction,"Columbia Pictures, Matt Tolmach Productions, Arad Productions, Marvel Entertainment",20140416,201404,2014
10,177572,Big Hero 6,657870525,165000000,3.987094090909091,Adventure,Walt Disney Animation Studios,20141024,201410,2014
10,177572,Big Hero 6,657870525,165000000,3.987094090909091,Family,Walt Disney Animation Studios,20141024,201410,2014
10,177572,Big Hero 6,657870525,165000000,3.987094090909091,Animation,Walt Disney Animation Studios,20141024,201410,2014
10,177572,Big Hero 6,657870525,165000000,3.987094090909091,Action,Walt Disney Animation Studios,20141024,201410,2014
10,177572,Big Hero 6,657870525,165000000,3.987094090909091,Comedy,Walt Disney Animation Studios,20141024,201410,2014
11,82702,How to Train Your Dragon 2,621537519,145000000,4.286465648275862,Fantasy,DreamWorks Animation,20140605,201406,2014
11,82702,How to Train Your Dragon 2,621537519,145000000,4.286465648275862,Action,DreamWorks Animation,20140605,201406,2014
11,82702,How to Train Your Dragon 2,621537519,145000000,4.286465648275862,Adventure,DreamWorks Animation,20140605,201406,2014
11,82702,How to Train Your Dragon 2,621537519,145000000,4.286465648275862,Animation,DreamWorks Animation,20140605,201406,2014
11,82702,How to Train Your Dragon 2,621537519,145000000,4.286465648275862,Comedy,DreamWorks Animation,20140605,201406,2014
11,82702,How to Train Your Dragon 2,621537519,145000000,4.286465648275862,Family,DreamWorks Animation,20140605,201406,2014
12,190859,American Sniper,542300000,58800000,9.22278911564626,War,"Warner Bros. Pictures, Village Roadshow Pictures, RatPac Entertainment, Mad Chance, 22nd & Indiana Pictures, Malpaso Productions",20141225,201412,2014
12,190859,American Sniper,542300000,58800000,9.22278911564626,Action,"Warner Bros. Pictures, Village Roadshow Pictures, RatPac Entertainment, Mad Chance, 22nd & Indiana Pictures, Malpaso Productions",20141225,201412,2014
13,124905,Godzilla,524978362,160000000,3.2811147625,Action,Legendary Pictures,20140514,201405,2014
13,124905,Godzilla,524978362,160000000,3.2811147625,Drama,Legendary Pictures,20140514,201405,2014
13,124905,Godzilla,524978362,160000000,3.2811147625,Science Fiction,Legendary Pictures,20140514,201405,2014
14,172385,Rio 2,498781117,103000000,4.8425351165048545,Animation,"Blue Sky Studios, 20th Century Fox Animation",20140319,201403,2014
14,172385,Rio 2,498781117,103000000,4.8425351165048545,Adventure,"Blue Sky Studios, 20th Century Fox Animation",20140319,201403,2014
14,172385,Rio 2,498781117,103000000,4.8425351165048545,Comedy,"Blue Sky Studios, 20th Century Fox Animation",20140319,201403,2014
14,172385,Rio 2,498781117,103000000,4.8425351165048545,Family,"Blue Sky Studios, 20th Century Fox Animation",20140319,201403,2014
15,98566,Teenage Mutant Ninja Turtles,485004754,125000000,3.880038032,Science Fiction,"Nickelodeon Movies, Paramount Pictures, Platinum Dunes, Mirage Studios, Gama Entertainment Partners, Mednick Productions, Heavy Metal",20140807,201408,2014
15,98566,Teenage Mutant Ninja Turtles,485004754,125000000,3.880038032,Action,"Nickelodeon Movies, Paramount Pictures, Platinum Dunes, Mirage Studios, Gama Entertainment Partners, Mednick Productions, Heavy Metal",20140807,201408,2014
15,98566,Teenage Mutant Ninja Turtles,485004754,125000000,3.880038032,Adventure,"Nickelodeon Movies, Paramount Pictures, Platinum Dunes, Mirage Studios, Gama Entertainment Partners, Mednick Productions, Heavy Metal",20140807,201408,2014
15,98566,Teenage Mutant Ninja Turtles,485004754,125000000,3.880038032,Comedy,"Nickelodeon Movies, Paramount Pictures, Platinum Dunes, Mirage Studios, Gama Entertainment Partners, Mednick Productions, Heavy Metal",20140807,201408,2014
16,137106,The Lego Movie,470759687,60000000,7.8459947833333334,Animation,"Village Roadshow Pictures, RatPac Entertainment, LEGO, Lin Pictures, Vertigo Entertainment, Warner Animation Group, Animal Logic",20140206,201402,2014
16,137106,The Lego Movie,470759687,60000000,7.8459947833333334,Family,"Village Roadshow Pictures, RatPac Entertainment, LEGO, Lin Pictures, Vertigo Entertainment, Warner Animation Group, Animal Logic",20140206,201402,2014
16,137106,The Lego Movie,470759687,60000000,7.8459947833333334,Adventure,"Village Roadshow Pictures, RatPac Entertainment, LEGO, Lin Pictures, Vertigo Entertainment, Warner Animation Group, Animal Logic",20140206,201402,2014
16,137106,The Lego Movie,470759687,60000000,7.8459947833333334,Comedy,"Village Roadshow Pictures, RatPac Entertainment, LEGO, Lin Pictures, Vertigo Entertainment, Warner Animation Group, Animal Logic",20140206,201402,2014
16,137106,The Lego Movie,470759687,60000000,7.8459947833333334,Fantasy,"Village Roadshow Pictures, RatPac Entertainment, LEGO, Lin Pictures, Vertigo Entertainment, Warner Animation Group, Animal Logic",20140206,201402,2014
17,240832,Lucy,469058574,40000000,11.72646435,Action,"EuropaCorp, Canal+, Ciné+, TF1 Films Production",20140725,201407,2014
17,240832,Lucy,469058574,40000000,11.72646435,Science Fiction,"EuropaCorp, Canal+, Ciné+, TF1 Films Production",20140725,201407,2014
18,270946,Penguins of Madagascar,373515621,132000000,2.8296637954545454,Family,"DreamWorks Animation, Pacific Data Images",20141122,201411,2014
18,270946,Penguins of Madagascar,373515621,132000000,2.8296637954545454,Animation,"DreamWorks Animation, Pacific Data Images",20141122,201411,2014
18,270946,Penguins of Madagascar,373515621,132000000,2.8296637954545454,Adventure,"DreamWorks Animation, Pacific Data Images",20141122,201411,2014
18,270946,Penguins of Madagascar,373515621,132000000,2.8296637954545454,Comedy,"DreamWorks Animation, Pacific Data Images",20141122,201411,2014
19,210577,Gone Girl,370890259,61000000,6.080168180327869,Mystery,"20th Century Fox, Regency Enterprises",20141001,201410,2014
19,210577,Gone Girl,370890259,61000000,6.080168180327869,Thriller,"20th Century Fox, Regency Enterprises",20141001,201410,2014
19,210577,Gone Girl,370890259,61000000,6.080168180327869,Drama,"20th Century Fox, Regency Enterprises",20141001,201410,2014
20,137113,Edge of Tomorrow,370541256,178000000,2.081692449438202,Action,"RatPac Entertainment, Village Roadshow Pictures, VIZ Media, 3 Arts Entertainment, Warner Bros. Pictures",20140527,201405,2014
20,137113,Edge of Tomorrow,370541256,178000000,2.081692449438202,Science Fiction,"RatPac Entertainment, Village Roadshow Pictures, VIZ Media, 3 Arts Entertainment, Warner Bros. Pictures",20140527,201405,2014
21,181533,Night at the Museum: Secret of the Tomb,363204635,127000000,2.8598790157480316,Adventure,"Moving Picture Company, 21 Laps Entertainment, 1492 Pictures, TSG Entertainment, 20th Century Fox",20141217,201412,2014
21,181533,Night at the Museum: Secret of the Tomb,363204635,127000000,2.8598790157480316,Comedy,"Moving Picture Company, 21 Laps Entertainment, 1492 Pictures, TSG Entertainment, 20th Century Fox",20141217,201412,2014
21,181533,Night at the Museum: Secret of the Tomb,363204635,127000000,2.8598790157480316,Fantasy,"Moving Picture Company, 21 Laps Entertainment, 1492 Pictures, TSG Entertainment, 20th Century Fox",20141217,201412,2014
21,181533,Night at the Museum: Secret of the Tomb,363204635,127000000,2.8598790157480316,Family,"Moving Picture Company, 21 Laps Entertainment, 1492 Pictures, TSG Entertainment, 20th Century Fox",20141217,201412,2014
22,86834,Noah,362600000,125000000,2.9008,Drama,"Paramount Pictures, Regency Enterprises, Protozoa Pictures",20140307,201403,2014
22,86834,Noah,362600000,125000000,2.9008,Adventure,"Paramount Pictures, Regency Enterprises, Protozoa Pictures",20140307,201403,2014
